Name, Sex, Age, Distance Run, Average Speed, Race Time
Ginger Pfannerstill, male, 16, 9.324, 5.98, 1.5591973244147155
Tracy Lynch II, male, 84, 8.904, 5.7, 1.5621052631578947
Doug Kshlerin, male, 87, 8.904, 5.54, 1.6072202166064982
Ms. Marilyn Cronin, male, 74, 10.909, 6.74, 1.618545994065282
Angelina Crooks II, male, 56, 13.22, 8.15, 1.622085889570552
Ms. Audrey Crona, male, 51, 13.22, 8.06, 1.6401985111662531
Clayton Kshlerin, male, 27, 19.277, 11.54, 1.6704506065857887
Sheila Powlowski PhD, male, 52, 13.22, 7.87, 1.6797966963151207
Dr. Marcos Moore, male, 71, 10.909, 6.49, 1.6808936825885978
Rachael Klocko, male, 59, 13.22, 7.81, 1.6927016645326507
Tom Kris, male, 11, 9.324, 5.42, 1.7202952029520295
Ms. Candace Runte, male, 16, 9.324, 5.34, 1.746067415730337
Johnnie Schmeler, male, 11, 9.324, 5.31, 1.7559322033898306
Sammy Feeney, male, 31, 16.25, 9.25, 1.7567567567567568
Paula Daniel-Skiles, male, 52, 13.22, 7.52, 1.7579787234042554
Ms. Jody Quitzon, male, 70, 10.909, 6.2, 1.759516129032258
Lula Paucek, male, 41, 14.268, 8.1, 1.7614814814814816
Stephen Walsh, male, 57, 13.22, 7.49, 1.7650200267022698
Tommie Beier, male, 30, 16.25, 9.15, 1.7759562841530054
Ken Morar MD, male, 28, 19.277, 10.85, 1.7766820276497697
Dr. Troy Grimes, male, 28, 19.277, 10.82, 1.7816081330868763
Keith Baumbach, male, 46, 14.268, 8.0, 1.7835
Dr. Lloyd Bruen-Stoltenberg, male, 20, 19.277, 10.8, 1.7849074074074074
Melinda McKenzie PhD, male, 16, 9.324, 5.19, 1.7965317919075143
Sylvia Zemlak, male, 95, 18.066, 9.85, 1.8341116751269035
Andrea Kovacek, male, 51, 13.22, 7.13, 1.8541374474053298
Marcos Wiza, male, 80, 8.904, 4.77, 1.866666666666667
Arlene D'Amore, male, 88, 8.904, 4.73, 1.8824524312896405
Eleanor Ullrich, male, 83, 8.904, 4.72, 1.8864406779661018
Dr. Adrian Bradtke, male, 72, 10.909, 5.77, 1.8906412478336225
Anita Wisozk PhD, male, 52, 13.22, 6.97, 1.8967001434720232
Shannon Kovacek, male, 51, 13.22, 6.94, 1.9048991354466858
Lucas Rau, male, 8, 17.585, 9.21, 1.9093376764386536
Leonard Beier-Schmeler Jr., male, 79, 10.909, 5.7, 1.913859649122807
Karl Volkman Jr., male, 37, 16.25, 8.49, 1.9140164899882215
Yvette Sporer, male, 45, 14.268, 7.43, 1.9203230148048454
Myron Tromp, male, 9, 17.585, 9.1, 1.9324175824175827
Rex Schroeder, male, 41, 14.268, 7.3, 1.9545205479452057
Rick Kovacek, male, 44, 14.268, 7.21, 1.9789181692094315
Horace Lowe, male, 9, 17.585, 8.85, 1.9870056497175144
Russell Hoeger, male, 22, 19.277, 9.7, 1.9873195876288663
Peggy Farrell DVM, male, 48, 14.268, 7.1, 2.0095774647887326
Ivan Schoen, male, 42, 14.268, 7.03, 2.0295874822190614
Allison Hartmann, male, 68, 20.137, 9.92, 2.029939516129032
Arnold Heaney, male, 40, 14.268, 6.95, 2.05294964028777
Jake Hirthe PhD, male, 78, 10.909, 5.31, 2.054425612052731
Annie Ullrich, male, 13, 9.324, 4.47, 2.0859060402684566
Mr. Ruben Bernhard I, male, 35, 16.25, 7.76, 2.0940721649484537
Fernando Stiedemann, male, 41, 14.268, 6.76, 2.1106508875739647
Dr. Carolyn Bins, male, 52, 13.22, 6.22, 2.1254019292604505
Forrest Smith DVM, male, 40, 14.268, 6.69, 2.1327354260089684
Tamara Tromp, male, 55, 13.22, 6.19, 2.135702746365105
Katrina Becker, male, 95, 18.066, 8.42, 2.145605700712589
Mr. Albert Gibson, male, 41, 14.268, 6.62, 2.155287009063444
Jamie Pacocha Jr., male, 50, 13.22, 6.1, 2.1672131147540985
Santos Kunde, male, 78, 10.909, 4.99, 2.186172344689379
Nora Blanda, male, 89, 8.904, 4.07, 2.1877149877149877
Brenda Marks, male, 29, 19.277, 8.79, 2.1930602957906715
Dianne Kautzer, male, 90, 18.066, 8.22, 2.197810218978102
Orville Harris DDS, male, 37, 16.25, 7.34, 2.2138964577656677
Moses Cartwright, male, 87, 8.904, 3.97, 2.2428211586901763
Janis Lind, male, 95, 18.066, 8.01, 2.255430711610487
Kelvin Quigley, male, 20, 19.277, 8.53, 2.2599062133645957
Kayla Fay, male, 26, 19.277, 8.46, 2.2786052009456266
Vera Kuhn, male, 86, 8.904, 3.83, 2.324804177545692
Lee Wilderman-Fay, male, 58, 13.22, 5.68, 2.3274647887323945
Wesley Johnson, male, 38, 16.25, 6.98, 2.328080229226361
Mr. Dexter Steuber MD, male, 7, 17.585, 7.41, 2.373144399460189
Jeanette Jenkins, male, 7, 17.585, 7.24, 2.4288674033149174
Jessie Stokes, male, 66, 20.137, 8.23, 2.4467800729040095
Dennis Rippin, male, 24, 19.277, 7.85, 2.4556687898089176
Penny Batz, male, 48, 14.268, 5.79, 2.4642487046632127
Ella Willms-Hackett, male, 22, 19.277, 7.71, 2.500259403372244
Blanca Harris, male, 91, 18.066, 7.18, 2.5161559888579386
Edith Windler, male, 35, 16.25, 6.44, 2.523291925465838
Karl Wiza, male, 93, 18.066, 7.13, 2.533800841514726
Ricky Heller, male, 51, 13.22, 5.17, 2.5570599613152805
Loren Strosin IV, male, 65, 20.137, 7.82, 2.575063938618926
Leticia Swaniawski, male, 73, 10.909, 4.23, 2.5789598108747045
Dr. Kristine Ferry, male, 57, 13.22, 5.08, 2.6023622047244097
Bernice Tromp, male, 96, 18.066, 6.9, 2.618260869565217
Sylvester Jones DVM, male, 91, 18.066, 6.83, 2.6450951683748167
Rachael Lesch, male, 6, 17.585, 6.64, 2.6483433734939763
Crystal Denesik, male, 79, 10.909, 4.11, 2.654257907542579
Cecilia Lebsack, male, 13, 9.324, 3.49, 2.6716332378223493
Courtney Schinner, male, 79, 10.909, 4.07, 2.6803439803439804
Mr. Victor Bechtelar, male, 28, 19.277, 7.15, 2.696083916083916
Earnest Ernser, male, 46, 14.268, 5.29, 2.6971644612476373
Dr. Doug Cole, male, 30, 16.25, 5.98, 2.7173913043478257
Kellie Green, male, 43, 14.268, 5.25, 2.717714285714286
Dr. Kelli Metz, male, 35, 16.25, 5.97, 2.7219430485762146
Erin Leuschke, male, 46, 14.268, 5.2, 2.743846153846154
Dr. Jerry Johnston-Stiedemann, male, 35, 16.25, 5.9, 2.754237288135593
Santiago Pfeffer, male, 80, 8.904, 3.23, 2.756656346749226
Abel Runolfsson, male, 79, 10.909, 3.94, 2.768781725888325
Ms. Joy Corwin, male, 88, 8.904, 3.21, 2.7738317757009345
Cecelia Collier PhD, male, 75, 10.909, 3.93, 2.775826972010178
Alison Schowalter, male, 12, 9.324, 3.31, 2.816918429003021
Rose Heidenreich-Schoen Sr., male, 71, 10.909, 3.83, 2.8483028720626633
Kelly Little PhD, male, 9, 17.585, 6.17, 2.8500810372771475
Kerry Dach, male, 96, 18.066, 6.33, 2.854028436018957
Mrs. Daisy Hyatt, male, 62, 20.137, 7.02, 2.8685185185185187
Darla Harris, male, 93, 18.066, 6.29, 2.872178060413354
Esther Runte I, male, 98, 18.066, 6.21, 2.9091787439613523
Derrick DuBuque, male, 31, 16.25, 5.56, 2.9226618705035974
Mr. Julio Hermann DVM, male, 33, 16.25, 5.55, 2.927927927927928
Harvey McGlynn, male, 61, 20.137, 6.71, 3.001043219076006
Leo Beier, male, 34, 16.25, 5.38, 3.020446096654275
Mr. Cedric Spinka, male, 96, 18.066, 5.97, 3.0261306532663315
Jerome Ebert, male, 21, 19.277, 6.37, 3.026216640502355
Ramon Dickinson, male, 20, 19.277, 6.32, 3.0501582278481014
Danny Murazik, male, 22, 19.277, 6.31, 3.054992076069731
Ricky Brown, male, 14, 9.324, 3.04, 3.067105263157895
Amber Dietrich, male, 24, 19.277, 6.25, 3.08432
Ms. Laverne Waters, male, 17, 9.324, 3.0, 3.108
Maurice Murazik, male, 88, 8.904, 2.86, 3.1132867132867132
Clarence D'Amore II, male, 98, 18.066, 5.78, 3.1256055363321797
Darin Lueilwitz, male, 90, 18.066, 5.77, 3.1310225303292896
Neil Bernhard, male, 92, 18.066, 5.77, 3.1310225303292896
Felipe Armstrong MD, male, 38, 16.25, 4.99, 3.256513026052104
Leroy Mann, male, 8, 17.585, 5.3, 3.317924528301887
Larry Considine, male, 23, 19.277, 5.71, 3.376007005253941
Katrina Grant, male, 9, 17.585, 5.13, 3.4278752436647175
Lorena Cassin, male, 23, 19.277, 5.4, 3.5698148148148148
Bernadette Baumbach, male, 76, 10.909, 3.03, 3.600330033003301
Winston Vandervort, male, 40, 14.268, 3.94, 3.621319796954315
Timothy Johnston, male, 96, 18.066, 4.93, 3.664503042596349
Pauline Wilkinson, male, 20, 19.277, 5.21, 3.7
Belinda Hintz, male, 76, 10.909, 2.92, 3.7359589041095895
Martin Lind, male, 22, 19.277, 5.12, 3.7650390625
Joan O'Reilly, male, 27, 19.277, 5.05, 3.8172277227722775
Dr. Jeannette Streich, male, 25, 19.277, 5.04, 3.8248015873015873
Eleanor Medhurst, male, 24, 19.277, 5.04, 3.8248015873015873
Mrs. Tina Hand Sr., male, 5, 17.585, 4.56, 3.8563596491228074
Lawrence Walter, male, 62, 20.137, 5.13, 3.9253411306042887
Molly Gulgowski, male, 25, 19.277, 4.88, 3.9502049180327874
Pearl Thompson, male, 23, 19.277, 4.69, 4.110234541577825
Hilda Kirlin, male, 63, 20.137, 4.76, 4.23046218487395
Matthew Stiedemann, male, 94, 18.066, 4.23, 4.270921985815602
Darryl Douglas, male, 97, 18.066, 4.19, 4.311694510739856
Dr. Tricia Pouros, male, 67, 20.137, 4.65, 4.330537634408602
Floyd Stoltenberg, male, 40, 14.268, 3.28, 4.3500000000000005
Roy McKenzie, male, 97, 18.066, 4.13, 4.374334140435836
Stewart Lehner, male, 96, 18.066, 4.12, 4.384951456310679
Dr. Alice Altenwerth DDS, male, 98, 18.066, 3.91, 4.620460358056266
Dr. Gilbert O'Hara, male, 94, 18.066, 3.91, 4.620460358056266
Ollie Morar, male, 67, 20.137, 4.26, 4.726995305164319
Tim Swaniawski, male, 23, 19.277, 4.03, 4.783374689826303
Laura Schultz Sr., male, 7, 17.585, 3.58, 4.912011173184358
Oscar Bernier, male, 31, 16.25, 3.26, 4.984662576687117
Marion Mueller, male, 63, 20.137, 3.9, 5.163333333333334
Joanne Kirlin, male, 5, 17.585, 3.19, 5.512539184952979
Karen Klein, male, 9, 17.585, 3.17, 5.547318611987382
Oscar Ullrich, male, 67, 20.137, 3.62, 5.562707182320442
Rebecca Schoen, male, 69, 20.137, 3.61, 5.578116343490305
Leslie Berge, male, 67, 20.137, 3.41, 5.905278592375367
Kathy Howell, male, 64, 20.137, 3.4, 5.92264705882353
Bill Spinka, male, 94, 18.066, 3.0, 6.021999999999999
Ben Lowe, male, 66, 20.137, 3.17, 6.352365930599369
Meredith Larson, male, 65, 20.137, 3.08, 6.537987012987013
Lynn Rau, male, 9, 17.585, 2.55, 6.89607843137255
Dr. Claude Denesik, male, 61, 20.137, 2.8, 7.191785714285715
Santiago Wisozk III, male, 7, 17.585, 2.07, 8.495169082125605
